id;name;date;description;photo;photo_content_type;type
1;Progressive;2022-07-07;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;LANDING
2;copying;2022-07-08;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;LANDING
3;de repurpose;2022-07-07;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;LANDING
4;24/7;2022-07-08;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;LAUNCH
5;user-centric Buckinghamshire;2022-07-08;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;LAUNCH
6;Grocery paradigms;2022-07-08;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;LANDING
7;Chicken Credit;2022-07-08;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;LANDING
8;bypass white;2022-07-08;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;LAUNCH
9;Licensed;2022-07-08;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;LANDING
10;Sleek Leone a;2022-07-08;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;LANDING
